Wavelength	 Transmission
459	7.67E-09
459.5	9.08E-08
460	1.74E-07
460.5	1.71E-07
461	1.68E-07
461.5	1.33E-07
462	9.71E-08
462.5	1.61E-07
463	2.26E-07
463.5	1.75E-07
464	1.25E-07
464.5	4.35E-08
465	1.00E-10
465.5	1.00E-10
466	2.31E-08
466.5	5.24E-08
467	8.16E-08
467.5	1.70E-07
468	2.59E-07
468.5	3.53E-08
469	1.00E-10
469.5	1.00E-10
470	1.59E-07
470.5	4.84E-08
471	1.00E-10
471.5	8.49E-08
472	2.32E-07
472.5	1.23E-07
473	1.45E-08
473.5	1.00E-10
474	1.00E-10
474.5	1.36E-08
475	1.04E-07
475.5	7.49E-08
476	4.57E-08
476.5	1.00E-10
477	1.00E-10
477.5	1.00E-10
478	1.00E-10
478.5	3.29E-08
479	8.37E-08
479.5	8.20E-10
480	1.00E-10
480.5	5.02E-08
481	1.83E-07
481.5	1.46E-07
482	1.09E-07
482.5	1.31E-08
483	1.00E-10
483.5	1.00E-10
484	1.76E-08
484.5	1.00E-10
485	1.00E-10
485.5	1.00E-10
486	1.00E-10
486.5	1.00E-10
487	1.00E-10
487.5	1.00E-10
488	1.00E-10
488.5	2.81E-08
489	5.91E-08
489.5	3.57E-08
490	1.23E-08
490.5	1.60E-08
491	1.97E-08
491.5	8.08E-08
492	1.42E-07
492.5	1.81E-07
493	2.21E-07
493.5	1.70E-07
494	1.19E-07
494.5	1.01E-07
495	8.28E-08
495.5	9.47E-08
496	1.07E-07
496.5	7.22E-08
497	3.77E-08
497.5	1.02E-07
498	1.66E-07
498.5	1.62E-07
499	1.57E-07
499.5	6.66E-08
500	1.00E-10
500.5	4.36E-08
501	1.11E-07
501.5	5.15E-08
502	1.00E-10
502.5	1.00E-10
503	1.00E-10
503.5	1.00E-10
504	1.00E-10
504.5	5.10E-08
505	1.08E-07
505.5	3.94E-08
506	1.00E-10
506.5	6.29E-08
507	1.55E-07
507.5	1.42E-07
508	1.28E-07
508.5	1.84E-07
509	2.41E-07
509.5	1.96E-07
510	1.51E-07
510.5	1.47E-07
511	1.44E-07
511.5	1.39E-07
512	1.34E-07
512.5	1.59E-07
513	1.83E-07
513.5	2.71E-07
514	3.58E-07
514.5	2.63E-07
515	1.67E-07
515.5	5.62E-07
516	9.57E-07
516.5	2.20E-06
517	3.44E-06
517.5	1.27E-05
518	2.21E-05
518.5	0.000107328
519	0.000192603
519.5	0.00127795
520	0.00236329
520.5	0.0257807
521	0.049198199
521.5	0.275647998
522	0.502097011
522.5	0.725700021
523	0.949303985
523.5	0.965439022
524	0.981575012
524.5	0.98308599
525	0.984597027
525.5	0.982968986
526	0.981341004
526.5	0.980974019
527	0.980607986
527.5	0.980428994
528	0.980248988
528.5	0.983017981
529	0.985786974
529.5	0.984942019
530	0.984097004
530.5	0.985403001
531	0.986708999
531.5	0.98505199
532	0.98339498
532.5	0.981972992
533	0.980549991
533.5	0.981335998
534	0.982122004
534.5	0.983794987
535	0.98546797
535.5	0.985159993
536	0.984852016
536.5	0.982122004
537	0.979390979
537.5	0.980669022
538	0.981948018
538.5	0.982513011
539	0.983078003
539.5	0.984740973
540	0.986404002
540.5	0.983606994
541	0.980809987
541.5	0.981886983
542	0.982963979
542.5	0.985080004
543	0.987196028
543.5	0.984915018
544	0.982634008
544.5	0.983870983
545	0.985107005
545.5	0.984658003
546	0.984209001
546.5	0.981447995
547	0.978688002
547.5	0.976938009
548	0.975188971
548.5	0.972319007
549	0.969449997
549.5	0.964267015
550	0.959084988
550.5	0.726064026
551	0.493043005
551.5	0.264483988
552	0.035925999
552.5	0.021191999
553	0.00645805
553.5	0.00354453
554	0.000631007
554.5	0.000358348
555	8.57E-05
555.5	5.08E-05
556	1.60E-05
556.5	9.91E-06
557	3.81E-06
557.5	2.40E-06
558	9.95E-07
558.5	6.84E-07
559	3.73E-07
559.5	2.43E-07
560	1.14E-07
560.5	1.88E-08
561	1.00E-10
561.5	5.99E-08
562	1.96E-07
562.5	1.09E-07
563	2.13E-08
563.5	1.00E-10
564	1.00E-10
564.5	1.00E-10
565	1.00E-10
565.5	1.00E-10
566	8.81E-08
566.5	1.00E-07
567	1.13E-07
567.5	5.24E-08
568	1.00E-10
568.5	1.00E-10
569	1.00E-10
569.5	1.00E-10
570	1.00E-10
570.5	1.00E-10
571	7.34E-08
571.5	1.00E-10
572	1.00E-10
572.5	1.00E-10
573	1.00E-10
573.5	1.00E-10
574	2.74E-08
574.5	5.92E-08
575	9.10E-08
575.5	1.18E-07
576	1.46E-07
576.5	1.00E-10
577	1.00E-10
577.5	1.00E-10
578	1.00E-10
578.5	1.00E-10
579	1.00E-10
579.5	1.00E-10
580	1.00E-10
580.5	1.20E-08
581	5.64E-08
581.5	1.00E-10
582	1.00E-10
582.5	1.00E-10
583	1.00E-10
583.5	1.00E-10
584	1.00E-10
584.5	1.00E-10
585	1.43E-08
585.5	1.00E-10
586	1.00E-10
586.5	1.00E-10
587	4.45E-08
587.5	5.41E-08
588	6.36E-08
588.5	1.00E-10
589	1.00E-10
589.5	1.00E-10
590	1.00E-10
590.5	1.00E-10
591	1.00E-10
591.5	1.00E-10
592	1.00E-10
592.5	1.00E-10
593	1.00E-10
593.5	1.71E-08
594	5.74E-08
594.5	1.00E-10
595	1.00E-10
595.5	1.00E-10
596	1.00E-10
596.5	1.00E-10
597	1.00E-10
597.5	1.00E-10
598	1.00E-10
598.5	1.00E-10
599	2.77E-08
599.5	1.00E-10
600	1.00E-10
600.5	1.00E-10
601	1.00E-10
601.5	1.00E-10
602	1.00E-10
602.5	1.00E-10
603	1.00E-10
603.5	1.00E-10
604	1.00E-10
604.5	1.00E-10
605	1.00E-10
605.5	1.00E-10
606	1.00E-10
606.5	1.00E-10
607	1.00E-10
607.5	1.00E-10
608	1.00E-10
608.5	1.00E-10
609	1.00E-10
609.5	1.00E-10
610	1.00E-10
610.5	1.00E-10
611	1.00E-10
611.5	1.00E-10
612	1.00E-10
612.5	1.00E-10
613	1.00E-10
613.5	1.00E-10
614	1.00E-10
614.5	4.83E-08
615	1.03E-07
