Wavelength_nm	Transmission
684	2.4484001e-07
685	2.3813e-07
686	1.9519e-07
687	2.2652e-07
688	2.7826999e-07
689	3.2003001e-07
690	3.1235001e-07
691	4.4731999e-07
692	8.3367001e-07
693	1.267e-06
694	1.0753e-06
695	7.6944002e-07
696	6.5828999e-07
697	5.7384e-07
698	5.7200998e-07
699	6.9842002e-07
700	7.0726003e-07
701	8.0632998e-07
702	6.6054997e-07
703	5.0188999e-07
704	4.1624e-07
705	3.0126e-07
706	2.5976999e-07
707	2.5439999e-07
708	2.3375e-07
709	2.7305001e-07
710	2.4622e-07
711	2.0908e-07
712	2.2586001e-07
713	2.2798e-07
714	2.1632999e-07
715	2.2640999e-07
716	2.9184e-07
717	4.7975999e-07
718	5.2398002e-07
719	3.772e-07
720	3.2022999e-07
721	1.8711999e-07
722	1.7566001e-07
723	1.5463e-07
724	1.3320999e-07
725	1.744e-07
726	1.6267001e-07
727	2.4492999e-07
728	3.8640999e-07
729	5.2518999e-07
730	1.3241e-06
731	7.352e-06
732	0.00012524
733	3.1691001e-05
734	6.5611998e-06
735	4.4093999e-06
736	4.3280002e-06
737	5.6642998e-06
738	1.0736e-05
739	2.3265e-05
740	5.4378001e-05
741	5.9048001e-05
742	5.8714999e-05
743	4.0589999e-05
744	3.2287e-05
745	3.2548e-05
746	3.6935999e-05
747	4.6181998e-05
748	5.7156001e-05
749	7.0470996e-05
750	7.6443997e-05
751	8.1400998e-05
752	8.1812002e-05
753	8.1787999e-05
754	8.0578e-05
755	7.8630001e-05
756	7.5828997e-05
757	7.4664e-05
758	7.4426003e-05
759	7.7832003e-05
760	8.2307e-05
761	8.9039e-05
762	9.5768999e-05
763	0.00010018
764	0.00010368
765	0.00010528
766	0.00010632
767	0.00010687
768	0.00010642
769	0.00010559
770	0.00010206
771	9.8609999e-05
772	9.7285003e-05
773	9.7386001e-05
774	0.00010121
775	0.00010623
776	0.00011039
777	0.00011162
778	0.00010411
779	9.3891998e-05
780	8.4480002e-05
781	7.8211e-05
