# Prizmatix LED-UHP-T SR normalized spectral data
# Source_file Prizmatix.csv
# Entry UHP-T-520-SR_Prizmatix
# Peak_wavelength_nm 519
# Dominant_wavelength_nm 522
# FWHM_nm 39
# Total_power_mW 660
Wavelength_nm	Relative_Intensity
200	0
200.5	0
201	0
201.5	0
202	0
202.5	0
203	0
203.5	0
204	0
204.5	0
205	0
205.5	0
206	0
206.5	0
207	0
207.5	0
208	0
208.5	0
209	0
209.5	0
210	0
210.5	0
211	0
211.5	0
212	0
212.5	0
213	0
213.5	0
214	0
214.5	0
215	0
215.5	0
216	0
216.5	0
217	0
217.5	0
218	0
218.5	0
219	0
219.5	0
220	0
220.5	0
221	0
221.5	0
222	0
222.5	0
223	0
223.5	0
224	0
224.5	0
225	0
225.5	0
226	0
226.5	0
227	0
227.5	0
228	0
228.5	0
229	0
229.5	0
230	0
230.5	0
231	0
231.5	0
232	0
232.5	0
233	0
233.5	0
234	0
234.5	0
235	0
235.5	0
236	0
236.5	0
237	0
237.5	0
238	0
238.5	0
239	0
239.5	0
240	0
240.5	0
241	0
241.5	0
242	0
242.5	0
243	0
243.5	0
244	0
244.5	0
245	0
245.5	0
246	0
246.5	0
247	0
247.5	0
248	0
248.5	0
249	0
249.5	0
250	0
250.5	0
251	0
251.5	0
252	0
252.5	0
253	0
253.5	0
254	0
254.5	0
255	0
255.5	0
256	0
256.5	0
257	0
257.5	0
258	0
258.5	0
259	0
259.5	0
260	0
260.5	0
261	0
261.5	0
262	0
262.5	0
263	0
263.5	0
264	0
264.5	0
265	0
265.5	0
266	0
266.5	0
267	0
267.5	0
268	0
268.5	0
269	0
269.5	0
270	0
270.5	0
271	0
271.5	0
272	0
272.5	0
273	0
273.5	0
274	0
274.5	0
275	0
275.5	0
276	0
276.5	0
277	0
277.5	0
278	0
278.5	0
279	0
279.5	0
280	0
280.5	0
281	0
281.5	0
282	0
282.5	0
283	0
283.5	0
284	0
284.5	0
285	0
285.5	0
286	0
286.5	0
287	0
287.5	0
288	0
288.5	0
289	0
289.5	0
290	0
290.5	0
291	0
291.5	0
292	0
292.5	0
293	0
293.5	0
294	0
294.5	0
295	0
295.5	0
296	0
296.5	0
297	0
297.5	0
298	0
298.5	0
299	0
299.5	0
300	0
300.5	0
301	0
301.5	0
302	0
302.5	0
303	0
303.5	0
304	0
304.5	0
305	0
305.5	0
306	0
306.5	0
307	0
307.5	0
308	0
308.5	0
309	0
309.5	0
310	0
310.5	0
311	0
311.5	0
312	0
312.5	0
313	0
313.5	0
314	0
314.5	0
315	0
315.5	0
316	0
316.5	0
317	0
317.5	0
318	0
318.5	0
319	0
319.5	0
320	0
320.5	0
321	0
321.5	0
322	0
322.5	0
323	0
323.5	0
324	0
324.5	0
325	0
325.5	0
326	0
326.5	0
327	0
327.5	0
328	0
328.5	0
329	0
329.5	0
330	0
330.5	0
331	0
331.5	0
332	0
332.5	0
333	0
333.5	0
334	0
334.5	0
335	0
335.5	0
336	0
336.5	0
337	0
337.5	0
338	0
338.5	0
339	0
339.5	0
340	0
340.5	0
341	0
341.5	0
342	0
342.5	0
343	0
343.5	0
344	0
344.5	0
345	0
345.5	0
346	0
346.5	0
347	0
347.5	0
348	0
348.5	0
349	0
349.5	0
350	0
350.5	0
351	0
351.5	0
352	0
352.5	0
353	0
353.5	0
354	0
354.5	0
355	0
355.5	0
356	0
356.5	0
357	0
357.5	0
358	0
358.5	0
359	0
359.5	0
360	0
360.5	0
361	0
361.5	0
362	0
362.5	0
363	0
363.5	0
364	0
364.5	0
365	0
365.5	0
366	0
366.5	0
367	0
367.5	0.0000368
368	0.000288
368.5	0.00062
369	0.000683
369.5	0.000811
370	0.000838
370.5	0.000881
371	0.000717
371.5	0.000629
372	0.00097
372.5	0.00139
373	0.00178
373.5	0.00155
374	0.00113
374.5	0.000832
375	0.000164
375.5	0
376	0
376.5	0.000905
377	0.0014
377.5	0.00187
378	0.00152
378.5	0.00128
379	0.00123
379.5	0.0015
380	0.00158
380.5	0.00109
381	0.000523
381.5	0.000392
382	0.000173
382.5	0.00109
383	0.00133
383.5	0.00133
384	0.00121
384.5	0.000893
385	0.00107
385.5	0.000449
386	0
386.5	0
387	0
387.5	0
388	0
388.5	0
389	0
389.5	0
390	0
390.5	0
391	0
391.5	0.0000883
392	0.000143
392.5	0.000624
393	0.000946
393.5	0.000835
394	0.001
394.5	0.000962
395	0.000786
395.5	0.00102
396	0.000687
396.5	0.000959
397	0.000718
397.5	0.00046
398	0.00085
398.5	0.000696
399	0.000841
399.5	0.0011
400	0.000522
400.5	0.000723
401	0.000704
401.5	0.00068
402	0.000491
402.5	0.000636
403	0.000809
403.5	0.000453
404	0.000786
404.5	0.000792
405	0.00108
405.5	0.00138
406	0.000479
406.5	0
407	0.000183
407.5	0.000644
408	0.00129
408.5	0.00139
409	0.000945
409.5	0.000635
410	0.000556
410.5	0.000302
411	0.000368
411.5	0.000778
412	0.000351
412.5	0.000643
413	0.00029
413.5	0
414	0.000439
414.5	0.000247
415	0.0000894
415.5	0.000369
416	0.000287
416.5	0.000616
417	0.00137
417.5	0.00128
418	0.00119
418.5	0.00142
419	0.00207
419.5	0.00149
420	0.00148
420.5	0.00114
421	0.000941
421.5	0.000665
422	0.000191
422.5	0.000135
423	0.000684
423.5	0.0016
424	0.00238
424.5	0.00241
425	0.00211
425.5	0.00147
426	0.00143
426.5	0.0012
427	0.00115
427.5	0.00118
428	0.00103
428.5	0.0013
429	0.00128
429.5	0.00146
430	0.000895
430.5	0.00114
431	0.00133
431.5	0.00227
432	0.002
432.5	0.00211
433	0.00139
433.5	0.00132
434	0.00116
434.5	0.00129
435	0.0012
435.5	0.00124
436	0.00125
436.5	0.00145
437	0.00186
437.5	0.00167
438	0.00113
438.5	0.000956
439	0.000922
439.5	0.000994
440	0.000984
440.5	0.00046
441	0.000433
441.5	0.000427
442	0.000882
442.5	0.00151
443	0.00143
443.5	0.00187
444	0.00179
444.5	0.00271
445	0.00289
445.5	0.00241
446	0.00178
446.5	0.00129
447	0.00161
447.5	0.00199
448	0.00214
448.5	0.00138
449	0.0013
449.5	0.000787
450	0.00162
450.5	0.00226
451	0.00309
451.5	0.00358
452	0.00346
452.5	0.00319
453	0.00287
453.5	0.00263
454	0.00247
454.5	0.003
455	0.00304
455.5	0.00332
456	0.00301
456.5	0.00332
457	0.00372
457.5	0.00332
458	0.00336
458.5	0.00362
459	0.0037
459.5	0.00453
460	0.00456
460.5	0.005
461	0.00541
461.5	0.00647
462	0.00713
462.5	0.00756
463	0.00759
463.5	0.00746
464	0.0077
464.5	0.00805
465	0.00881
465.5	0.00951
466	0.00993
466.5	0.0106
467	0.011
467.5	0.0118
468	0.0126
468.5	0.0132
469	0.0143
469.5	0.0149
470	0.0151
470.5	0.0161
471	0.0169
471.5	0.0182
472	0.0195
472.5	0.0213
473	0.0232
473.5	0.0252
474	0.026
474.5	0.0276
475	0.0298
475.5	0.0322
476	0.0346
476.5	0.0358
477	0.0375
477.5	0.0393
478	0.0421
478.5	0.0446
479	0.0472
479.5	0.05
480	0.053
480.5	0.0558
481	0.0595
481.5	0.0627
482	0.0658
482.5	0.0694
483	0.0742
483.5	0.0791
484	0.0836
484.5	0.0881
485	0.0937
485.5	0.0998
486	0.106
486.5	0.113
487	0.12
487.5	0.127
488	0.135
488.5	0.142
489	0.15
489.5	0.158
490	0.167
490.5	0.176
491	0.186
491.5	0.195
492	0.205
492.5	0.216
493	0.228
493.5	0.24
494	0.254
494.5	0.267
495	0.282
495.5	0.297
496	0.313
496.5	0.328
497	0.345
497.5	0.362
498	0.379
498.5	0.396
499	0.415
499.5	0.434
500	0.454
500.5	0.474
501	0.495
501.5	0.516
502	0.538
502.5	0.559
503	0.58
503.5	0.6
504	0.62
504.5	0.639
505	0.659
505.5	0.679
506	0.699
506.5	0.72
507	0.74
507.5	0.76
508	0.779
508.5	0.797
509	0.815
509.5	0.833
510	0.85
510.5	0.866
511	0.881
511.5	0.895
512	0.909
512.5	0.922
513	0.934
513.5	0.946
514	0.957
514.5	0.965
515	0.973
515.5	0.98
516	0.985
516.5	0.99
517	0.993
517.5	0.996
518	0.999
518.5	1
519	1
519.5	0.999
520	0.997
520.5	0.993
521	0.988
521.5	0.981
522	0.975
522.5	0.966
523	0.958
523.5	0.947
524	0.936
524.5	0.925
525	0.913
525.5	0.901
526	0.888
526.5	0.875
527	0.862
527.5	0.849
528	0.835
528.5	0.821
529	0.806
529.5	0.79
530	0.774
530.5	0.759
531	0.743
531.5	0.727
532	0.711
532.5	0.695
533	0.68
533.5	0.665
534	0.651
534.5	0.636
535	0.622
535.5	0.608
536	0.595
536.5	0.581
537	0.568
537.5	0.555
538	0.542
538.5	0.529
539	0.515
539.5	0.502
540	0.489
540.5	0.476
541	0.465
541.5	0.452
542	0.441
542.5	0.43
543	0.419
543.5	0.407
544	0.396
544.5	0.384
545	0.373
545.5	0.361
546	0.35
546.5	0.34
547	0.329
547.5	0.318
548	0.308
548.5	0.298
549	0.288
549.5	0.278
550	0.268
550.5	0.258
551	0.249
551.5	0.24
552	0.233
552.5	0.225
553	0.217
553.5	0.208
554	0.2
554.5	0.192
555	0.186
555.5	0.179
556	0.172
556.5	0.165
557	0.158
557.5	0.151
558	0.146
558.5	0.14
559	0.136
559.5	0.131
560	0.127
560.5	0.122
561	0.118
561.5	0.113
562	0.109
562.5	0.105
563	0.101
563.5	0.0975
564	0.094
564.5	0.0904
565	0.0865
565.5	0.083
566	0.0797
566.5	0.0767
567	0.0737
567.5	0.0713
568	0.0689
568.5	0.0669
569	0.0644
569.5	0.0624
570	0.06
570.5	0.0584
571	0.0562
571.5	0.0542
572	0.0525
572.5	0.0504
573	0.0484
573.5	0.0465
574	0.0447
574.5	0.0438
575	0.0423
575.5	0.0413
576	0.0395
576.5	0.0382
577	0.0373
577.5	0.0368
578	0.0361
578.5	0.0353
579	0.0341
579.5	0.0327
580	0.0312
580.5	0.0298
581	0.029
581.5	0.0276
582	0.0265
582.5	0.0251
583	0.0242
583.5	0.0235
584	0.0231
584.5	0.0226
585	0.0219
585.5	0.0209
586	0.0204
586.5	0.0195
587	0.019
587.5	0.0186
588	0.0179
588.5	0.0172
589	0.0168
589.5	0.0163
590	0.0167
590.5	0.016
591	0.0155
591.5	0.0145
592	0.0139
592.5	0.0137
593	0.0132
593.5	0.0126
594	0.0121
594.5	0.0117
595	0.0117
595.5	0.0115
596	0.0116
596.5	0.0115
597	0.0112
597.5	0.0109
598	0.0104
598.5	0.0102
599	0.0101
599.5	0.00971
600	0.0094
600.5	0.00879
601	0.00918
601.5	0.00875
602	0.00839
602.5	0.00756
603	0.00724
603.5	0.00658
604	0.00612
604.5	0.00571
605	0.00573
605.5	0.00493
606	0.00463
606.5	0.0045
607	0.00453
607.5	0.00439
608	0.00415
608.5	0.00419
609	0.00381
609.5	0.00454
610	0.00494
610.5	0.00547
611	0.00477
611.5	0.0037
612	0.00334
612.5	0.00282
613	0.00243
613.5	0.00219
614	0.00254
614.5	0.0032
615	0.0032
615.5	0.00316
616	0.00285
616.5	0.00287
617	0.00203
617.5	0.00219
618	0.00198
618.5	0.00205
619	0.00121
619.5	0.00162
620	0.00214
620.5	0.00304
621	0.00241
621.5	0.00172
622	0.000931
622.5	0.00106
623	0.00158
623.5	0.00179
624	0.00221
624.5	0.00208
625	0.00216
625.5	0.00141
626	0.0017
626.5	0.00117
627	0.00166
627.5	0.00181
628	0.00221
628.5	0.00247
629	0.00191
629.5	0.00186
630	0.00108
630.5	0.00119
631	0.000564
631.5	0.00029
632	0
632.5	0.000511
633	0.000475
633.5	0.000275
634	0.000259
634.5	0.000392
635	0.00103
635.5	0.00118
636	0.00124
636.5	0.00175
637	0.00101
637.5	0.00113
638	0.000677
638.5	0.00125
639	0.00152
639.5	0.00127
640	0.00138
640.5	0.00124
641	0.00137
641.5	0.00115
642	0.000958
642.5	0.000889
643	0.00094
643.5	0.00114
644	0.000515
644.5	0.000365
645	0.000295
645.5	0.000789
646	0.000694
646.5	0.000607
647	0.000497
647.5	0.000847
648	0.000865
648.5	0.000671
649	0.00054
649.5	0
650	0
650.5	0
651	0
651.5	0
652	0
652.5	0
653	0
653.5	0
654	0
654.5	0
655	0
655.5	0
656	0
656.5	0
657	0
657.5	0
658	0
658.5	0
659	0
659.5	0
660	0
660.5	0
661	0
661.5	0
662	0
662.5	0
663	0
663.5	0
664	0
664.5	0
665	0
665.5	0
666	0
666.5	0
667	0
667.5	0
668	0
668.5	0
669	0
669.5	0
670	0
670.5	0
671	0
671.5	0
672	0
672.5	0
673	0
673.5	0
674	0
674.5	0
675	0
675.5	0
676	0
676.5	0
677	0
677.5	0
678	0
678.5	0
679	0
679.5	0
680	0
680.5	0
681	0
681.5	0
682	0
682.5	0
683	0
683.5	0
684	0
684.5	0
685	0
685.5	0
686	0
686.5	0
687	0
687.5	0
688	0
688.5	0
689	0
689.5	0
690	0
690.5	0
691	0
691.5	0
692	0
692.5	0
693	0
693.5	0
694	0
694.5	0
695	0
695.5	0
696	0
696.5	0
697	0
697.5	0
698	0
698.5	0
699	0
699.5	0
700	0
700.5	0
701	0
701.5	0
702	0
702.5	0
703	0
703.5	0
704	0
704.5	0
705	0
705.5	0
706	0
706.5	0
707	0
707.5	0
708	0
708.5	0
709	0
709.5	0
710	0
710.5	0
711	0
711.5	0
712	0
712.5	0
713	0
713.5	0
714	0
714.5	0
715	0
715.5	0
716	0
716.5	0
717	0
717.5	0
718	0
718.5	0
719	0
719.5	0
720	0
720.5	0
721	0
721.5	0
722	0
722.5	0
723	0
723.5	0
724	0
724.5	0
725	0
725.5	0
726	0
726.5	0
727	0
727.5	0
728	0
728.5	0
729	0
729.5	0
730	0
730.5	0
731	0
731.5	0
732	0
732.5	0
733	0
733.5	0
734	0
734.5	0
735	0
735.5	0
736	0
736.5	0
737	0
737.5	0
738	0
738.5	0
739	0
739.5	0
740	0
740.5	0
741	0
741.5	0
742	0
742.5	0
743	0
743.5	0
744	0
744.5	0
745	0
745.5	0
746	0
746.5	0
747	0
747.5	0
748	0
748.5	0
749	0
749.5	0
750	0
750.5	0
751	0
751.5	0
752	0
752.5	0
753	0
753.5	0
754	0
754.5	0
755	0
755.5	0
756	0
756.5	0
757	0
757.5	0
758	0
758.5	0
759	0
759.5	0
760	0
760.5	0
761	0
761.5	0
762	0
762.5	0
763	0
763.5	0
764	0
764.5	0
765	0
765.5	0
766	0
766.5	0
767	0
767.5	0
768	0
768.5	0
769	0
769.5	0
770	0
770.5	0
771	0
771.5	0
772	0
772.5	0
773	0
773.5	0
774	0
774.5	0
775	0
775.5	0
776	0
776.5	0
777	0
777.5	0
778	0
778.5	0
779	0
779.5	0
780	0
780.5	0
781	0
781.5	0
782	0
782.5	0
783	0
783.5	0
784	0
784.5	0
785	0
