lambda	exc	em
695	0.628931	11.76470588
696	0.628931	11.54411765
697	0.628931	11.20588235
698	0.628931	10.86764706
699	0.628931	10.42647059
700	0.628931	10.22058824
701	0.503145	10.02941176
702	0	9.823529412
703	0	9.455882353
704	0	9.191176471
705	0	9.058823529
706	0	8.926470588
707	0	8.75
708	0	8.602941176
709	0	8.294117647
710	0	8.161764706
711	0	7.838235294
712	0	7.514705882
713	0	7.308823529
714	0	7.058823529
715	0	6.838235294
716	0	6.632352941
717	0	6.470588235
718	0	6.25
719	0	6
720	0	5.720588235
721	0	5.617647059
722	0	5.544117647
723	0	5.382352941
724	0	5.235294118
725	0	5.029411765
726	0	5.102941176
727	0	5.102941176
728	0	4.985294118
729	0	4.794117647
730	0	4.529411765
731	0	4.441176471
732	0	4.426470588
733	0	4.352941176
734	0	4.294117647
735	0	4.058823529
736	0	3.911764706
737	0	3.926470588
738	0	3.838235294
739	0	3.823529412
740	0	3.661764706
741	0	3.5
742	0	3.514705882
743	0	3.470588235
744	0	3.397058824
745	0	3.264705882
746	0	3.117647059
747	0	3.058823529
748	0	3.102941176
749	0	2.882352941
750	0	2.661764706
751	0	2.588235294
752	0	2.529411765
753	0	2.485294118
754	0	2.411764706
755	0	2.176470588
756	0	2.235294118
757	0	2.102941176
758	0	2.161764706
759	0	2.161764706
760	0	2.220588235
761	0	2.147058824
762	0	2.191176471
763	0	2.308823529
764	0	2.323529412
765	0	2.191176471
766	0	2.029411765
767	0	1.911764706
768	0	1.941176471
769	0	1.823529412
770	0	1.794117647
771	0	1.691176471
772	0	1.441176471
773	0	1.292647059
774	0	1.188235294
775	0	0.989705882
776	0	0.944117647
777	0	0.961764706
778	0	0.908823529
779	0	0.835294118
780	0	0.926470588
781	0	0.985294118
782	0	1.070588235
783	0	1.098529412
784	0	1.155882353
785	0	1.294117647
786	0	1.114705882
787	0	1.127941176
788	0	1.25
789	0	1.344117647
790	0	1.410294118
791	0	1.470588235
792	0	1.529411765
793	0	1.573529412
794	0	1.602941176
795	0	1.632352941
796	0	1.632352941
797	0	1.632352941
798	0	1.602941176
799	0	1.544117647
800	0	1.463235294
