# APD440A2 Thorlabs detector spectral response
# Source: Thorlabs APD4x0A/APD4x0A2 typical responsivity plot.
# Curve used: APD410A2 & APD440A2 (M = 50), red trace.
# Original plot units: responsivity A/W, approximate peak 24 A/W near 590-610 nm.
# Values below are normalized relative response for use by filterDesignerApp.
Wavelength_nm	Relative_Response
731	0.72260765
732	0.71973684
733	0.71686603
734	0.71399521
735	0.7111244
736	0.70825359
737	0.70538277
738	0.70251196
739	0.69964115
740	0.69677033
741	0.69389952
742	0.69102871
743	0.68815789
744	0.68528708
745	0.68241627
746	0.67954545
747	0.67667464
748	0.67380383
749	0.67093301
750	0.6680622
751	0.66519139
752	0.66232057
753	0.65944976
754	0.65657895
755	0.65370813
756	0.65083732
757	0.64796651
758	0.64509569
759	0.64222488
760	0.63935406
761	0.63648325
762	0.63361244
763	0.63074162
764	0.62787081
765	0.625
766	0.62212918
767	0.61925837
768	0.61638756
769	0.61351674
770	0.61064593
771	0.60777512
772	0.6049043
773	0.60203349
774	0.59916268
775	0.59629186
776	0.59342105
777	0.59055024
778	0.58767942
779	0.58480861
780	0.5819378
781	0.57906698
782	0.57619617
783	0.57332536
784	0.57045454
785	0.56758373
786	0.56471292
787	0.5618421
788	0.55897129
789	0.55610048
790	0.55322966
791	0.55035885
792	0.54748804
793	0.54461722
794	0.54174641
795	0.5388756
796	0.53600478
797	0.53313397
798	0.53026316
799	0.52739234
800	0.52452153
801	0.52165071
802	0.5187799
803	0.51590909
804	0.51303827
805	0.51016746
806	0.50729665
807	0.50442583
808	0.50155502
809	0.49868421
810	0.49581339
811	0.49294258
812	0.49007177
813	0.48720095
814	0.48433014
815	0.48145933
816	0.47858851
817	0.4757177
818	0.47284689
819	0.46997607
820	0.46710526
821	0.46423445
822	0.46136363
823	0.45849282
824	0.45562201
825	0.45275119
826	0.44988038
827	0.44700957
828	0.44413875
829	0.44126794
830	0.43839713
831	0.43552631
832	0.4326555
833	0.42978469
834	0.42691387
835	0.42404306
836	0.42117225
837	0.41830143
838	0.41543062
839	0.41255981
840	0.40968899
841	0.40681818
842	0.40394736
843	0.40107655
844	0.39820574
845	0.39533492
846	0.39246411
847	0.3895933
848	0.38672248
849	0.38385167
850	0.38098086
