Wavelength_nm	Transmission
703	5.6277e-08
704	1.1384e-08
705	8.6556e-08
706	7.9478e-08
707	5.5931e-08
708	6.2899e-08
709	6.3664e-08
710	8.0111e-08
711	3.2526e-08
712	4.4694e-08
713	4.726e-08
714	3.4455e-08
715	1.0921e-08
716	7.466e-08
717	7.9887e-08
718	4.8727e-08
719	1.0817e-07
720	1.1286e-07
721	3.3418e-08
722	3.7526e-08
723	6.7952e-08
724	6.6022e-08
725	1.1391e-08
726	6.9871e-08
727	5.0798e-08
728	3.5913e-08
729	1.8288e-07
730	7.7485e-07
731	2.8941e-06
732	1.667e-06
733	1.125e-06
734	8.6041e-07
735	4.5578e-07
736	1.9003e-07
737	1.0597e-07
738	6.4582e-08
739	1.2962e-08
740	1.2567e-08
741	1.0273e-07
742	7.1022e-08
743	2.7986e-08
744	1.2594e-07
745	2.9004e-07
746	6.5438e-07
747	1.3864e-06
748	1.3743e-06
749	1.1811e-06
750	1.1816e-06
751	1.0959e-06
752	6.0638e-07
753	3.4487e-07
754	1.4015e-07
755	2.2492e-07
756	9.0821e-08
757	1.424e-07
758	1.9212e-07
759	3.5195e-07
760	6.319e-07
761	1.5143e-06
762	1.5332e-06
763	1.1248e-06
764	1.239e-06
765	1.0915e-06
766	6.1888e-07
767	1.8552e-07
768	3.1601e-08
769	1.021e-07
770	6.019e-08
771	4.4889e-08
772	4.7078e-08
773	5.1543e-08
774	4.7432e-08
775	4.2859e-08
776	6.4297e-08
777	1.0056e-07
778	1.9691e-07
779	3.9094e-07
780	4.9635e-07
781	6.1914e-07
782	4.9902e-07
783	3.8064e-07
784	1.3855e-07
785	4.6749e-08
786	3.1981e-08
787	2.3149e-08
788	1.9457e-08
789	1.6493e-08
790	1.9597e-08
791	2.3555e-08
792	1.7128e-08
793	1.1615e-08
794	8.3529e-09
795	6.0475e-09
796	1.2575e-08
797	2.8695e-08
798	3.2861e-08
799	3.6039e-08
800	1.061e-07
801	3.2446e-07
802	1.4289e-07
803	4.7956e-08
804	3.5074e-08
805	2.8e-08
806	2.8888e-08
807	3.0468e-08
808	3.0179e-08
809	2.9782e-08
810	1.8093e-08
811	1.0811e-08
812	1.5601e-08
813	2.5562e-08
814	2.4514e-08
815	2.2106e-08
816	2.089e-08
817	1.9821e-08
818	2.2371e-08
819	2.551e-08
820	1.7084e-08
821	1.1248e-08
822	1.803e-08
823	3.2742e-08
824	3.0524e-08
825	2.6446e-08
826	2.661e-08
827	2.7098e-08
828	2.489e-08
829	2.2744e-08
830	2.6513e-08
831	3.1076e-08
832	3.0857e-08
833	2.9884e-08
834	2.6669e-08
835	2.3574e-08
836	1.7316e-08
837	1.2519e-08
838	1.1325e-08
839	1.0371e-08
840	1.3404e-08
841	1.7472e-08
842	1.9405e-08
843	2.1055e-08
844	1.9298e-08
845	1.7359e-08
846	2.2284e-08
847	2.942e-08
848	3.0883e-08
849	3.207e-08
850	2.7237e-08
