Wavelength (nm)	%T
394.8	0.0011
395	0.0011
395.2	0.0011
395.5	0.0012
395.8	0.0012
396	0.0013
396.2	0.0013
396.5	0.0014
396.8	0.0014
397	0.0015
397.2	0.0016
397.5	0.0016
397.8	0.0017
398	0.0018
398.2	0.0019
398.5	0.0021
398.8	0.0022
399	0.0023
399.2	0.0025
399.5	0.0027
399.8	0.0029
400	0.0031
400.2	0.0034
400.5	0.0037
400.8	0.004
401	0.0044
401.2	0.0048
401.5	0.0053
401.8	0.0058
402	0.0064
402.2	0.0072
402.5	0.008
402.8	0.009
403	0.0101
403.2	0.0115
403.5	0.0131
403.8	0.015
404	0.0173
404.2	0.02
404.5	0.0233
404.8	0.0273
405	0.0321
405.2	0.0381
405.5	0.0456
405.8	0.0548
406	0.0663
406.2	0.0806
406.5	0.0983
406.8	0.1203
407	0.1468
407.2	0.1782
407.5	0.2138
407.8	0.2517
408	0.2886
408.2	0.3205
408.5	0.3435
408.8	0.3559
409	0.358
409.2	0.3519
409.5	0.3408
409.8	0.3271
410	0.313
410.2	0.2997
410.5	0.2878
410.8	0.2778
411	0.2698
411.2	0.2637
411.5	0.2595
411.8	0.2571
412	0.2565
412.2	0.2575
412.5	0.26
412.8	0.264
413	0.2695
413.2	0.2763
413.5	0.2845
413.8	0.2939
414	0.3044
414.2	0.3159
414.5	0.3283
414.8	0.3401
415	0.3522
415.2	0.3643
415.5	0.376
415.8	0.3871
416	0.3971
416.2	0.4059
416.5	0.4131
416.8	0.4187
417	0.4224
417.2	0.4245
417.5	0.4249
417.8	0.4241
418	0.4223
418.2	0.4201
418.5	0.4183
418.8	0.4178
419	0.4201
419.2	0.426
419.5	0.4336
419.8	0.4368
420	0.4321
420.2	0.423
420.5	0.414
420.8	0.4072
421	0.4028
421.2	0.4007
421.5	0.4006
421.8	0.4024
422	0.406
422.2	0.4112
422.5	0.418
422.8	0.4262
423	0.4356
423.2	0.446
423.5	0.457
423.8	0.4684
424	0.4796
424.2	0.4903
424.5	0.5004
424.8	0.5097
425	0.5179
425.2	0.5245
425.5	0.5293
425.8	0.5316
426	0.5309
426.2	0.5269
426.5	0.5193
426.8	0.5081
427	0.4935
427.2	0.476
427.5	0.4561
427.8	0.4345
428	0.4119
428.2	0.3889
428.5	0.3661
428.8	0.3439
429	0.3227
429.2	0.3027
429.5	0.2841
429.8	0.2669
430	0.2512
430.2	0.237
430.5	0.2242
430.8	0.2129
431	0.2029
431.2	0.1944
431.5	0.1871
431.8	0.1813
432	0.1768
432.2	0.1738
432.5	0.1722
432.8	0.1715
433	0.1712
433.2	0.1698
433.5	0.1662
433.8	0.16
434	0.1522
434.2	0.1444
434.5	0.1374
434.8	0.1317
435	0.1273
435.2	0.1239
435.5	0.1215
435.8	0.1199
436	0.119
436.2	0.1186
436.5	0.1188
436.8	0.1196
437	0.1208
437.2	0.1225
437.5	0.1247
437.8	0.1274
438	0.1307
438.2	0.1345
438.5	0.139
438.8	0.1443
439	0.1505
439.2	0.1575
439.5	0.1656
439.8	0.1748
440	0.1853
440.2	0.1973
440.5	0.2111
440.8	0.2269
441	0.2451
441.2	0.2662
441.5	0.2905
441.8	0.3188
442	0.3519
442.2	0.3905
442.5	0.4359
442.8	0.4893
443	0.5521
443.2	0.626
443.5	0.7123
443.8	0.8124
444	0.9265
444.2	1.0529
444.5	1.1872
444.8	1.3204
445	1.4397
445.2	1.5292
445.5	1.5751
445.8	1.5699
446	1.5165
446.2	1.4258
446.5	1.3127
446.8	1.1911
447	1.0712
447.2	0.9596
447.5	0.8591
447.8	0.7706
448	0.6938
448.2	0.6276
448.5	0.5709
448.8	0.5224
449	0.481
449.2	0.4458
449.5	0.416
449.8	0.3912
450	0.3712
450.2	0.3561
450.5	0.347
450.8	0.3457
451	0.3533
451.2	0.3609
451.5	0.3473
451.8	0.3171
452	0.2906
452.2	0.2723
452.5	0.2599
452.8	0.2512
453	0.2451
453.2	0.2408
453.5	0.2379
453.8	0.2361
454	0.2354
454.2	0.2357
454.5	0.2368
454.8	0.2388
455	0.2416
455.2	0.2454
455.5	0.25
455.8	0.2555
456	0.2621
456.2	0.2697
456.5	0.2785
456.8	0.2886
457	0.3
457.2	0.313
457.5	0.3276
457.8	0.3442
458	0.3629
458.2	0.3841
458.5	0.408
458.8	0.4351
459	0.4658
459.2	0.5006
459.5	0.5403
459.8	0.5855
460	0.6371
460.2	0.6961
460.5	0.7637
460.8	0.841
461	0.9296
461.2	1.0308
461.5	1.1458
461.8	1.2757
462	1.4207
462.2	1.5799
462.5	1.7504
462.8	1.9266
463	2.0997
463.2	2.2579
463.5	2.3872
463.8	2.4745
464	2.5099
464.2	2.4906
464.5	2.4205
464.8	2.3098
465	2.1713
465.2	2.0179
465.5	1.8603
465.8	1.7065
466	1.5616
466.2	1.4281
466.5	1.3073
466.8	1.199
467	1.1028
467.2	1.0175
467.5	0.9421
467.8	0.8756
468	0.8169
468.2	0.7651
468.5	0.7192
468.8	0.6786
469	0.6427
469.2	0.6108
469.5	0.5825
469.8	0.5574
470	0.5351
470.2	0.5153
470.5	0.4977
470.8	0.4822
471	0.4684
471.2	0.4563
471.5	0.4457
471.8	0.4365
472	0.4286
472.2	0.4218
472.5	0.4161
472.8	0.4115
473	0.4078
473.2	0.4051
473.5	0.4032
473.8	0.4022
474	0.4021
