Wavelength_nm	Excitation	Emission
644	0.00231	0.00956
645	0.00231	0.00992
646	0.00204	0.00957
647	0.003	0.00873
648	0.00302	0.00968
649	0.00339	0.00879
650	0.00432	0.00899
651	0.00331	0.00841
652	0.00381	0.00805
653	0.0031	0.00785
654	0.0038	0.00791
655	0.00315	0.00797
656	0.00348	0.0076
657	0.00332	0.00757
658	0.00331	0.00788
659	0.00404	0.00802
660	0.0029	0.00711
661	0.00285	0.00775
662	0.00317	0.00754
663	0.00329	0.00726
664	0.0033	0.00706
665	0.0032	0.00729
666	0.00273	0.00701
667	0.00194	0.00704
668	0.00246	0.00686
669	0.0026	0.00698
670	0.00338	0.00639
671	0.00284	0.00682
672	0.00364	0.00654
673	0.00408	0.00636
674	0.00356	0.00654
675	0.00303	0.00646
676	0.00208	0.00666
677	0.00101	0.00673
678	0.00037	0.00652
679	0.00217	0.00654
680	0.0009	0.00642
681	0.00148	0.00651
682	0.00041	0.00635
683	0.00068	0.00711
684	0.00099	0.00685
685	0.00126	0.00661
686	0.00158	0.00681
687	0.00142	0.00614
688	0.00182	0.00693
689	0.00054	0.0061
690	0.00171	0.00652
691	0.00035	0.00603
692	0.00124	0.00679
693	0.00123	0.00674
694	0.00023	0.00634
695	0.00106	0.00628
696	0.00206	0.00644
697	0.00221	0.00666
698	0.00226	0.00679
699	0.00215	0.00641
700	0.00171	0.00637
701	0	0.0064
702	0	0.00685
703	0	0.00631
704	0	0.00693
705	0	0.00608
706	0	0.00739
707	0	0.00712
708	0	0.00666
709	0	0.00649
710	0	0.00645
711	0	0.00692
712	0	0.00692
713	0	0.00696
714	0	0.00702
715	0	0.00704
716	0	0.00733
717	0	0.00779
718	0	0.00779
719	0	0.00783
720	0	0.00723
721	0	0.00767
722	0	0.00732
723	0	0.00825
724	0	0.00732
725	0	0.00728
726	0	0.00755
727	0	0.00742
728	0	0.00799
729	0	0.0082
730	0	0.00906
731	0	0.0086
732	0	0.00775
733	0	0.00899
734	0	0.00885
735	0	0.0083
736	0	0.00912
737	0	0.00905
738	0	0.00905
739	0	0.00966
740	0	0.0088
741	0	0.00956
742	0	0.00862
743	0	0.00818
744	0	0.0094
745	0	0.00994
746	0	0.00935
747	0	0.01022
748	0	0.01015
749	0	0.00954
750	0	0.01067
751	0	0
752	0	0
753	0	0
754	0	0
755	0	0
756	0	0
757	0	0
758	0	0
759	0	0
760	0	0
761	0	0
762	0	0
763	0	0
764	0	0
765	0	0
766	0	0
767	0	0
768	0	0
769	0	0
770	0	0
771	0	0
772	0	0
773	0	0
774	0	0
775	0	0
776	0	0
777	0	0
778	0	0
779	0	0
780	0	0
781	0	0
782	0	0
783	0	0
784	0	0
785	0	0
786	0	0
787	0	0
788	0	0
789	0	0
790	0	0
791	0	0
792	0	0
793	0	0
794	0	0
795	0	0
796	0	0
797	0	0
798	0	0
799	0	0
800	0	0
801	0	0
802	0	0
803	0	0
804	0	0
805	0	0
806	0	0
807	0	0
808	0	0
809	0	0
810	0	0
811	0	0
812	0	0
813	0	0
814	0	0
815	0	0
816	0	0
817	0	0
818	0	0
819	0	0
820	0	0
821	0	0
822	0	0
823	0	0
824	0	0
825	0	0
826	0	0
827	0	0
828	0	0
829	0	0
830	0	0
831	0	0
832	0	0
833	0	0
834	0	0
835	0	0
836	0	0
837	0	0
838	0	0
839	0	0
840	0	0
841	0	0
842	0	0
843	0	0
844	0	0
845	0	0
846	0	0
847	0	0
848	0	0
849	0	0
850	0	0
