Wavelength_nm	Excitation	Emission
350	0	0
351	0	0
352	0	0
353	0	0
354	0	0
355	0	0
356	0	0
357	0	0
358	0	0
359	0	0
360	0	0
361	0	0
362	0	0
363	0	0
364	0	0
365	0	0
366	0	0
367	0	0
368	0	0
369	0	0
370	0	0
371	0	0
372	0	0
373	0	0
374	0	0
375	0	0
376	0	0
377	0	0
378	0	0
379	0	0
380	0	0
381	0	0
382	0	0
383	0	0
384	0	0
385	0	0
386	0	0
387	0	0
388	0	0
389	0	0
390	0	0
391	0	0
392	0	0
393	0	0
394	0	0
395	0	0
396	0	0
397	0	0
398	0	0
399	0	0
400	0	0
401	0	0
402	0	0
403	0	0
404	0	0
405	0	0
406	0	0
407	0	0
408	0	0
409	0	0
410	0	0
411	0	0
412	0	0
413	0	0
414	0	0
415	0	0
416	0	0
417	0	0
418	0	0
419	0	0
420	0	0
421	0	0
422	0	0
423	0	0
424	0	0
425	0	0
426	0	0
427	0	0
428	0	0
429	0	0
430	0	0
431	0	0
432	0	0
433	0	0
434	0	0
435	0	0
436	0	0
437	0	0
438	0	0
439	0	0
440	0	0
441	0	0
442	0	0
443	0	0
444	0	0
445	0	0
446	0	0
447	0	0
448	0	0
449	0	0
450	0	0
451	0	0
452	0	0
453	0	0
454	0	0
455	0	0
456	0	0
457	0	0
458	0	0
459	0	0
460	0	0
461	0	0
462	0	0
463	0	0
464	0	0
465	0	0
466	0	0
467	0	0
468	0	0
469	0	0
470	0	0
471	0	0
472	0	0
473	0	0
474	0	0
475	0	0
476	0	0
477	0	0
478	0	0
479	0	0
480	0.00067139993	0
481	0.00085159991	0
482	0.0011071999	0
483	0.0016196998	0
484	0.0023521998	0
485	0.0033140997	0
486	0.0044888996	0
487	0.0058603994	0
488	0.0074225993	0
489	0.0091504991	0
490	0.011025599	0
491	0.013003399	0
492	0.015050798	0
493	0.017102598	0
494	0.019102098	0
495	0.021032998	0
496	0.022912298	0
497	0.024761298	0
498	0.026650797	0
499	0.028617997	0
500	0.030659697	0
501	0.032743697	0
502	0.034819797	0
503	0.036805396	0
504	0.038679196	0
505	0.040438196	0
506	0.042111596	0
507	0.043783896	0
508	0.045535095	0
509	0.047414795	0
510	0.049496095	0
511	0.051830695	0
512	0.054403395	0
513	0.057252894	0
514	0.060385694	0
515	0.063739394	0
516	0.067288593	0
517	0.071008393	0
518	0.074760693	0
519	0.078450392	0
520	0.082052492	0
521	0.085435891	0
522	0.088530791	0
523	0.091418391	0
524	0.094169391	0
525	0.09679009	0
526	0.09943319	0
527	0.10218039	0
528	0.10497509	0
529	0.10775279	0
530	0.11054529	0
531	0.11327619	0
532	0.11595189	0
533	0.11865009	0
534	0.12149349	0
535	0.12452359	0
536	0.12782489	0
537	0.13139559	0
538	0.13525359	0
539	0.13933549	0
540	0.14359359	0
541	0.14507269	0
542	0.14747639	0
543	0.15010098	0
544	0.15298538	0
545	0.15623148	0
546	0.15996148	0
547	0.16427968	0
548	0.16924088	0
549	0.17481838	0
550	0.18088228	0
551	0.18727358	0
552	0.19384538	0
553	0.20048768	0
554	0.20714918	0
555	0.21385598	0
556	0.22063188	0
557	0.22746908	0
558	0.23431618	0
559	0.24109348	0
560	0.24770508	0
561	0.25411327	0
562	0.26035997	0
563	0.26656707	0
564	0.27289317	0
565	0.27950837	0
566	0.28654327	0
567	0.29408307	0
568	0.30217437	0
569	0.31085367	0
570	0.32014157	0
571	0.33003067	0
572	0.34045367	0
573	0.35126266	0
574	0.36223176	0
575	0.37309566	0
576	0.38361656	0
577	0.39365806	0
578	0.40320576	0
579	0.41236076	0
580	0.42131466	0
581	0.43027686	0
582	0.43938366	0
583	0.44870066	0
584	0.45819895	0
585	0.46774765	0
586	0.47718075	0
587	0.48636955	0
588	0.49522765	0
589	0.50379975	0
590	0.51227185	0
591	0.52090725	0
592	0.53001135	0
593	0.53985135	0
594	0.55048204	0
595	0.56174324	0
596	0.57327384	0
597	0.58452604	0
598	0.59492434	0
599	0.60409154	0
600	0.61185594	0
601	0.61833654	0
602	0.62394554	0
603	0.62924194	0
604	0.63472924	0.011828688
605	0.64084984	0.012220688
606	0.64783714	0.012701287
607	0.65569543	0.013647786
608	0.66423103	0.014806885
609	0.67321173	0.016191684
610	0.68236633	0.017708882
611	0.69152223	0.019365381
612	0.70062513	0.021136479
613	0.70982113	0.023052077
614	0.71932503	0.025118175
615	0.72942663	0.027352373
616	0.74035623	0.02973437
617	0.75226532	0.032295968
618	0.76511662	0.035013765
619	0.77874842	0.037880862
620	0.79281342	0.040890759
621	0.80695132	0.044046556
622	0.82081192	0.047306353
623	0.83411702	0.050707249
624	0.84668702	0.054249146
625	0.85857811	0.057928342
626	0.86990561	0.061788138
627	0.88080661	0.065864234
628	0.89146001	0.07049993
629	0.90202381	0.075599924
630	0.91248891	0.078892421
631	0.92279861	0.080614019
632	0.93292001	0.085187215
633	0.94277061	0.091575608
634	0.9522454	0.1000892
635	0.9612861	0.10995099
636	0.9698322	0.12104978
637	0.9777251	0.13324137
638	0.9847565	0.14661065
639	0.9906995	0.16122694
640	0.9953433	0.17715362
641	0.9984822	0.19443051
642	1	0.21314859
643	0.9998914	0.23339097
644	0.9981797	0.25524504
645	0.9948416	0.27879302
646	0.9898575	0.3040761
647	0.9831541	0.33108897
648	0.9745544	0.35978614
649	0.9639217	0.39015391
650	0.951188	0.42211878
651	0.93634551	0.45558294
652	0.91949091	0.49036751
653	0.90086091	0.52625757
654	0.88065241	0.56295634
655	0.85904971	0.6001324
656	0.83612272	0.63751626
657	0.81177992	0.67488413
658	0.78575302	0.71198289
659	0.75776832	0.74854615
660	0.72754063	0.78427582
661	0.69499273	0.81871488
662	0.66033113	0.85132285
663	0.62406784	0.88159042
664	0.58691274	0.90900769
665	0.54975205	0.93312897
666	0.51339075	0.95365995
667	0.47847945	0.97046853
668	0.44548966	0.98346242
669	0.41470876	0.99265051
670	0.38620076	0.9981331
671	0.35996706	1
672	0.33592237	0.9983563
673	0.31386937	0.99342861
674	0.29355957	0.98547381
675	0.27476757	0.97470483
676	0.25723407	0.96144384
677	0.24076878	0.94608235
678	0.22528288	0.92897357
679	0.21073598	0.91049329
680	0.19710428	0.89099831
681	0.18440948	0.87086043
682	0.17260148	0.85023565
683	0.16157048	0.82922867
684	0.15120538	0.80788559
685	0.14136429	0.78636051
686	0.13186689	0.76481824
687	0.12263129	0.74346956
688	0.11365429	0.72261768
689	0.10493899	0.7024432
690	0.09656879	0.68308282
691	0.088694591	0.66441654
692	0.081396692	0.64647235
693	0.074691993	0.62913637
694	0.068608893	0.61248779
695	0.063123094	0.596629
696	0.058164994	0.58167852
697	0.053703295	0.56765163
698	0.049754295	0.55444395
699	0.046340995	0.54190796
700	0.043505796	0.52975207
701	0	0.51790328
702	0	0.50624429
703	0	0.49485881
704	0	0.48383302
705	0	0.47333223
706	0	0.46338354
707	0	0.45399155
708	0	0.44519405
709	0	0.43692836
710	0	0.42897127
711	0	0.42114838
712	0	0.41347889
713	0	0.40590209
714	0	0.3983947
715	0	0.39113761
716	0	0.38438012
717	0	0.37813812
718	0	0.37235013
719	0	0.36695513
720	0	0.36191274
721	0	0.35702224
722	0	0.35219075
723	0	0.34740135
724	0	0.34271566
725	0	0.33806526
726	0	0.33349537
727	0	0.32905107
728	0	0.32482018
729	0	0.32073418
730	0	0.31680418
731	0	0.31294519
732	0	0.30905049
733	0	0.3049854
734	0	0.3008524
735	0	0.2966894
736	0	0.29253541
737	0	0.28840711
738	0	0.28436132
739	0	0.28024572
740	0	0.27592832
741	0	0.27140233
742	0	0.26679543
743	0	0.26218084
744	0	0.25761514
745	0	0.25314885
746	0	0.24873615
747	0	0.24429246
748	0	0.23966196
749	0	0.23486607
750	0	0.22988677
751	0	0.22482038
752	0	0.21960748
753	0	0.21433609
754	0	0.20896349
755	0	0.2037226
756	0	0.1986953
757	0	0.19402041
758	0	0.18959791
759	0	0.18535461
760	0	0.18103392
761	0	0.17644092
762	0	0.17151563
763	0	0.16632153
764	0	0.16107394
765	0	0.15584434
766	0	0.15083635
767	0	0.14606085
768	0	0.14169966
769	0	0.13768036
770	0	0.13396907
771	0	0.13040807
772	0	0.12695447
773	0	0.12354528
774	0	0.12011958
775	0	0.11687108
776	0	0.11384899
777	0	0.11117259
778	0	0.10861839
779	0	0.10619229
780	0	0.1037349
781	0	0.1012422
782	0	0.098632301
783	0	0.096080604
784	0	0.093697506
785	0	0.091436609
786	0	0.089271211
787	0	0.087193013
788	0	0.085207815
789	0	0.083239417
790	0	0.081322919
791	0	0.07953852
792	0	0.077829922
793	0	0.076185524
794	0	0.074554725
795	0	0.072962227
796	0	0.071352929
797	0	0.06982363
798	0	0.068589231
799	0	0.067637632
800	0	0.067251733
801	0	0
802	0	0
803	0	0
804	0	0
805	0	0
806	0	0
807	0	0
808	0	0
809	0	0
810	0	0
811	0	0
812	0	0
813	0	0
814	0	0
815	0	0
816	0	0
817	0	0
818	0	0
819	0	0
820	0	0
821	0	0
822	0	0
823	0	0
824	0	0
825	0	0
826	0	0
827	0	0
828	0	0
829	0	0
830	0	0
831	0	0
832	0	0
833	0	0
834	0	0
835	0	0
836	0	0
837	0	0
838	0	0
839	0	0
840	0	0
841	0	0
842	0	0
843	0	0
844	0	0
845	0	0
846	0	0
847	0	0
848	0	0
849	0	0
850	0	0
